name,count
English,12802411
German,3086197
Indonesian,553017
Spanish,463932
French,385938
Dutch,287760
Portugal,254031
Russian,229278
Italian,168560
Polish,144730
Thai,81364
Japanese,72137
Greek,58718
Finnish,48103
Czech,37743
Chinese,36575
Ukrainian,34957
Arabic,34099
Norwegian,26068
Swedish,23774
Danish,22063
Estonian,16067
Hebrew,15901
Slovak,14365
Vietnamese,11383
Latvian,11297
Serbian,11027
Mongolian,10814
Romanian,8875
Slovenian,8815
Makedonian,8286
Icelandic,7920
Lithuanian,7739
Korean,4801
Hungarian,4773
Croatian,4509
Persian,4242
Turkish,3809
Bulgarian,3382
Malay,3091
Bengali,2380
Kazakh,1955
Englisj,1579
Kirghiz,1017
Lao,921
Albanian,808
Uzbek,721
Georgian,649
Ethiopia,567
Dzongkha,214
Catalan,155
Tagalog,102
Armenian,101
Azerbaijani,80
