name,count
Western Europe,4141598
World,2741761
Northern America,1577529
Southern Europe,997937
South-eastern Asia,966846
Northern Europe,938500
Australia and New Zealand,896109
South America,831123
Eastern Europe ,564286
Western Asia,500653
Caribbean,450987
Eastern Africa,424740
Western Africa,397218
Eastern Asia,386150
Central America,304955
Southern Asia,291694
Eastern Europe,242839
Northern Africa,201037
Middle Africa,192495
Micronesia,169504
Central Asia,160701
Melanesia,151151
Polynesia,149867
Southern Africa,134855
Antarctica,44111
Southen Asia,178
