name,count
Germany,2839128
World,2313166
European Union,1665922
United States,1268909
Unknown,1037534
Australia,676019
Indonesia,593992
Eswatini,572933
Netherlands,441012
France,428927
United Kingdom,319038
Canada,308568
Palestine,301526
Spain,281349
Italy,280523
Zimbabwe,260224
Poland,244414
Mozambique,242086
Brazil,230452
Tunis,193974
Austria,183519
Switzerland,173925
Belgium,165145
Zambia,164005
Sweden,158323
Greece,156402
Portugal,151710
Finland,150350
Hungary,135946
Czech Republic,134808
Latvia,133868
Ireland,130796
Vanuatu,126785
Slovakia,122323
New Zealand,122235
Slovenia,119942
Japan,115770
Estonia,113645
Argentina,112887
Denmark,111722
Romania,108635
Croatia,106955
Malawi,106734
Thailand,104314
Colombia,102109
Lithuania,101541
Luxembourg,96118
Bulgaria,95994
Malta,86900
Cyprus,83082
Marocco,73758
India,59642
Uganda,58216
Togo,53171
Ukraine,51426
Mexico,50364
Uruguay,49953
Norway,44858
Antarctic,44111
Russian Federation,40554
Sao Tome and Principe,39611
Taiwan,39495
Chile,39132
Tanzania,37305
China,35937
Oceania,33403
South Africa,30836
Somalia,30681
Ecuador,30596
Saudi Arabia,26506
Israel,25082
Peru,23112
Vietnam,22957
Cambodia,22018
Turkey,21755
South Sudan,21383
Phillipines,20209
Nigeria,19743
Sierra Leone,19602
Mongolia,19344
Hong Kong,19124
Kazakhstan,19030
Iceland,18604
Singapore,18530
Yemen,18242
Mauritius,18223
Panama,17563
"Korea, Democratic People's Republic of",17547
Serbia,17476
Senegal,17283
Sudan,16599
Pakistan,16227
Namibia,16068
Seychelles,14462
Costa Rica,14429
Malaysia,14221
Jordan,14180
Uzbekistan,14103
Albania,14004
Armenia,13452
Kenya,13423
Ethiopia,13373
Mauritania,13154
Sri Lanka,12543
Rwanda,12473
Venezuela,12337
Iran,12014
Niger,11990
El Salvador,11833
Egypt,11770
United Arab Emirates,11669
Honduras,11658
Guatemala,11637
Makedonia,11339
Lebanon,11171
Montenegro,10757
Bolivia,10672
Africa,10653
Laos,10633
Angola,10597
Bangladesh,10587
Belize,10444
Mali,10442
Paraguay,10426
Jamaica,10159
Liberia,9912
Trinidad and Tobago,9892
Nicaragua,9870
Myanmar,9746
Ghana,9713
Cabo Verde,9688
Iraq,9673
Bosnia and Herzegovina,9647
Madagascar,9593
Djibouti,9499
Kyrgyzstan,9491
South Korea,9427
Republic of Ivory Coast,9316
Gambia,9293
Syrian Arab Republic,9277
Equatorial Guinea,9273
Nepal,9077
Georgia,8948
Haiti,8895
Benin,8815
Botswana,8739
Burkina Faso,8708
Lesotho,8679
Cameroon,8651
Comoros,8534
Tajikistan,8514
Republica Dominicana,8345
Guinea,8249
Congo,8234
Chad,8196
Maldives,8142
Gabon,8061
Belarus,7939
Moldova,7844
Afghanistan,7840
Qatar,7819
Central African Republic,7785
Bhutan,7769
Azerbaijan,7594
Papua New Guinea,7527
Timor-Leste,7503
Tonga,7477
Isle of Man,7248
Kiribati,7162
Algeria,7148
Samoa,7119
Barbados,6893
Solomon Islands,6790
Fiji,6738
Democratic Republic of the Congo,6698
Bahrain,6663
Bahamas,6504
Palau,6216
Burundi,6064
Dominica,5986
Kuwait,5940
Turkmenistan,5829
Republic of Marshall Islands,5598
Suriname,5581
Guyana,5496
Guernsey,5277
Andorra,5263
Greenland,5050
Jersey,4959
Saint Lucia,4937
Luxemburg,4887
Micronesia,4871
Guinea-Bissau,4834
Oman,4784
Cayman Islands,4698
Puerto Rico,4666
Antigua and Barbuda,4566
Grenada,4379
Libya,4242
Cuba,4173
Tuvalu,4066
Nauru,3945
Saint Vincent and the Grenadines,3610
Faroe Islands,3508
Saint Kitts and Nevis,3328
Cook Islands,3150
Eritrea,3097
Niue,3014
Aruba,2739
Latin America,2717
Morocco,2509
Turks and Caicos Islands,2384
Bermuda,2298
San Marino,2202
"Virgin Islands, British",2191
Sint Maarten (Dutch part),2087
Dominican Republic,2052
Liechtenstein,2030
Türkiye,1969
"Iran, Islamic Republic of",1935
Monaco,1892
Tunisia,1891
Czechia,1890
Viet Nam,1852
"Moldova, Republic of",1840
Montserrat,1767
Philippines,1762
Côte d'Ivoire,1755
"Korea, Republic of",1713
Lao People's Democratic Republic,1694
Brunei Darussalam,1647
Brunei,1612
Macau,1609
"Congo, The Democratic Republic of the",1594
"Tanzania, United Republic of",1586
Falkland Islands (Malvinas),1552
North Macedonia,1551
"Bolivia, Plurinational State of",1539
Guadeloupe,1528
"Bonaire, Sint Eustatius and Saba",1519
Martinique,1483
"Venezuela, Bolivarian Republic of",1470
Anguilla,1459
"Virgin Islands, U.S.",1452
French Guiana,1425
"Micronesia, Federated States of",1358
Marshall Islands,1321
Gibraltar,1286
New Caledonia,1217
American Samoa,939
French Polynesia,850
Wallis and Futuna,768
Curaçao,760
Guam,740
Northern Mariana Islands,668
Republic of North Macedonia,656
Saint Martin (French part),637
Caribbean,546
"Palestine, State of",512
Tokelau,434
Afganistan,178
Antarctica,135
Cote d Ivoire,122
Réunion,81
Western Sahara,65
Macao,54
"Saint Helena, Ascension and Tristan da Cunha",29
Mayotte,22
Saint Pierre and Miquelon,10
Norfolk Island,4
