name,count
.html,9061730
.json,8468507
.csv,5189666
.xlsx,4406682
.gz,3880728
.md,3854733
.parquet,3853227
.dta,3851804
.ndjson,3851581
.zip,1083084
.wms,1008678
.txt,730578
.kml,632361
.xml,612205
.pdf,463591
.jpg,428386
.png,381760
.tif,316615
.gml,305720
.shp,295366
.geojson,282591
.nc,233194
.xls,227543
.atom,216091
.kmz,210736
.geotiff,210698
.gif,209883
.svg,205491
.rss,180207
".xml,.xpdl,.xsl",173646
parquet,172323
.wfs,154396
.wcs,137218
.docx,125151
.rdf,89458
,83021
.gpkg,63949
.tsv,50751
.jpeg,45977
.mvt,38552
.topojson,38353
csv,37633
json,36866
html,27699
.js,27670
.sid,26565
.tab,25997
.7z,23254
.px,22064
.tiff,21901
.wmts,20663
.csw,19903
.xyz,16842
.mif,16269
xml,12814
.dwg,11260
other,10349
imagefolder,10236
.fgdb,10117
.do,10039
.exe,9966
.php,9921
.dxf,9756
.ods,9155
.prj,7167
.r,6865
audiofolder,6611
.wsdl,6245
.org,5843
pdf,5692
.qgs,5623
.netcdf,5144
.sqlite,4906
.rar,4863
shp,4859
.sav,4833
.jp2,4387
.sas,4357
text,4046
.mid,3713
.gdb,3626
.mp4,3607
zip,3212
.jsonld,3123
.doc,2687
.text,2613
.tar,2521
.ttl,2329
.pptx,2313
.bil,2298
.dds,2297
.rtf,2218
.dat,2187
xlsx,2053
esri rest,2012
.fgb,2004
.dbf,1978
edi,1881
webdataset,1823
.gpx,1692
.xlsm,1673
.sps,1597
.shx,1560
.rdata,1516
.tt;,1476
kml,1423
geojson,1410
.py,1358
.swf,1310
wms,1237
.wav,1232
jp2,1227
.cif,1218
.hdf5,1208
.cdx,1129
xls,1039
.mat,969
.g3w,963
.ppt,959
.mdb,946
.odt,913
.cdf,834
.n3,827
.xz,816
arrow,812
rss,810
fgdb/gdb,807
.m,781
.htm,777
.protobuf,752
.turtle,719
jpg,707
.fits,697
.jsonl,660
.ps,640
.tex,612
.123,601
.avi,589
.ipynb,586
.sbx,573
.sbn,571
rdf,566
.mov,545
txt,545
.stl,524
.ogg,486
.bmp,484
.bin,473
.mrc,443
.mp3,426
.xlsb,421
.fh,407
.au,399
.com,378
kmz,373
.sh,358
.iso,344
docx,343
.pdb,326
geotif,310
.ado,305
.ivt,300
gpkg,293
.webm,292
.dgn,282
.itp,279
.c,278
.cpt,275
segy,253
ascii grid,236
.3ds,199
.arw,198
gml,193
.warc,190
.xsl,182
.wmf,179
.atx,164
tiff,152
.gph,148
.msi,143
.man,137
.czml,125
gdb,122
.dcm,120
.asc,117
.tgz,113
mxd,110
".txt,.text",106
.wpd,105
.f,101
.ics,100
.ma,100
.tar.gz,98
gif,97
.hlp,96
.epub,94
.yaml,94
.fig,92
jpeg,92
.cdr,91
cdr,91
.xltx,87
.hdf,83
.css,79
wfs,79
.cat,77
.xht,72
doc,69
.mag,68
.sql,68
".boz,.bz2",66
.nii,66
ecw,65
netcdf,64
.mpg,61
.eml,59
url,59
.dng,57
.tcl,57
.pas,54
.crd,53
png,51
.ogv,47
.wmv,45
.xhtml,43
pdf/a-1,41
.bz,40
.fcs,40
.eps,39
.raw,38
.xps,38
.pl,36
pptx,34
.jar,32
.dtd,31
.ttf,30
.aif,28
.s,28
.ico,27
.m4v,26
.psd,26
.vml,26
.bz2,24
.java,24
.pcap,24
.src,23
.graphml,22
tab,22
wcs,22
.sig,21
.webp,21
.vcf,20
rtf,20
.res,19
.skp,19
grib2,19
ods,19
.mkv,18
.odp,18
.chm,17
.str,17
pdf/ua,17
sqlite,17
.apr,14
.xslt,14
.ai,13
.bdf,13
.class,13
.docm,13
.fst,13
.sit,13
.db,12
.p7b,12
.qt,12
.wma,12
wmts,11
.nml,10
.stc,10
lyr,10
.arff,9
.qps,9
sas,9
.vtu,8
.acc,7
.apk,7
.jfif,7
.lbe,7
.mesh,7
.ppsx,7
dxf,7
odt,7
.emf,6
.gtar,6
.hdt,6
.ims,6
.tpl,6
sql,6
.asm,5
.dna,5
.odc,5
.pub,5
.xla,5
.xlw,5
e00,5
las,5
.afm,4
.csh,4
.dts,4
.flv,4
.for,4
.geo,4
.gsf,4
".heif,.heic",4
.skd,4
.tar.xz,4
mp4,4
.dotx,3
.drle,3
.es3,3
.flx,3
.gv,3
.m4a,3
.mpeg,3
.nsf,3
.rst,3
.wmz,3
.xlm,3
.xlt,3
.xltm,3
exe,3
hdf,3
r,3
.3gp,2
.abw,2
.bat,2
.cc,2
.dll,2
.igs,2
.latex,2
.m3u,2
.mb,2
.mseed,2
.sxm,2
.tra,2
.yml,2
avi,2
bag,2
epub3,2
grd,2
pdf/a-2,2
.application,1
.aw,1
.cpp,1
.daf,1
.dot,1
.dsc,1
.f90,1
.h,1
.h264,1
.heic,1
.inc,1
.markdown,1
.mbox,1
.mht,1
.mobi,1
.ms,1
.mts,1
.odb,1
.otf,1
.ots,1
.p,1
.p7s,1
.pyc,1
.rq,1
.spx,1
.ssf,1
.vsd,1
.xlb,1
aac,1
dbf,1
flat raster binary,1
geopdf,1
iati,1
jar,1
jsonl,1
mat,1
nc,1
odp,1
pbix,1
pkl,1
ppt,1
rmd,1
tif,1
unknown,1
vpf,1
