name,count
Planning / Cadastre,2160573
Economy,2015094
Environment,1262597
Society,1179424
Structure,953463
Geoscientific Information,570773
Oceans,514850
Health,481719
Inland Waters,318018
Imagery / Base Maps / Earth Cover,252126
Biota,171759
Climatology / Meteorology / Atmosphere,152207
Transportation,134417
Elevation,124774
Location,102763
Farming,99437
Boundaries,70446
Utilities / Communication,28983
Intelligence / Military,6392
 Utilities / communication,977
Utilities / communication,956
 Geoscientific information,486
Extra terrestrial,465
Planning cadastre,385
 Society,361
 Structure,219
 Intelligence / Military,156
Geoscientific information,139
Inland waters,139
 Transportation,117
 Location,113
 Extra terrestrial,87
 Health,66
 Environment,63
 Planning cadastre,57
 Disaster,51
 Inland waters,47
 Economy,46
 Imagery / Base Maps / Earth Cover,44
Disaster,35
 Oceans,20
 Climatology / Meteorology / Atmosphere,14
 Biota,6
 Elevation,6
