name,count
text/html,8916658
application/json,8329991
text/csv,5187352
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,4406682
application/gzip,3875991
text/markdown,3854720
application/vnd.apache.parquet,3853227
application/x-stata-dta,3851804
application/x-ndjson,3851581
application/vnd.ogc.wms_xml,997994
text/HTML,921627
text/plain,728939
application/zip,635319
application/vnd.google-earth.kml+xml,634699
application/PDF,633630
text/xml,612384
image/jpeg,473326
application/pdf,463494
image/tiff,338331
text/xml; subtype=gml/3.1.1,302956
application/zipped-shapefile,293775
Image/png,268409
application/x-netcdf,233899
text/xml; subtype=gml/2.1.2,227299
text/xml; subtype=gml/3.2,227210
application/vnd.ms-excel,226982
application/vnd.geo+json,226534
application/atom+xml,216091
image/geotiff,210698
image/gif,209883
application/vnd.google-earth.kmz,207662
image/svg+xml,205489
image/geotiff8,204785
image/tiff8,204785
application/rss+xml,180207
application/xml,173646
application/vnd.ogc.wfs_xml,155223
application/gml+xml; version=3.2,152386
application/vnd.google-earth.kml xml,149004
image/png; mode=8bit,146309
text/html; subtype=openlayers,144236
application/vnd.google-earth.kml+xml;mode=networklink,142246
application/json;type=utfgrid,138516
image/vnd.jpeg-png,138147
application/vnd.ogc.wcs_xml,137218
text/html; subtype=openlayers2,120238
text/html; subtype=openlayers3,120238
image/vnd.jpeg-png8,114405
application/vnd.openxmlformats-officedocument.wordprocessingml.document,113808
image/png,113192
application/rdf+xml,89458
application/octet-stream,81600
image/png8,58542
application/x-gpkg,55580
text/tab-separated-values,50126
application/vnd.mapbox-vector-tile,38552
application/json;type=topojson,38353
application/json;type=geojson,38227
text/javascript,27621
audio/prs.sid,26565
text/tab,26007
application/x-7z-compressed,23254
text/pc-axis,21773
application/vnd.ogc.wmts_xml,20663
application/vnd.ogc.csw.capabilities.response_xml,19903
application/geopackage+sqlite3,19095
application/geo+json,17845
chemical/x-xyz,16842
application/vnd.mif,16269
application/msword,15573
application/x-filegdb,13743
image/vnd.dwg,11260
text/wms,10684
text/php,9921
application/x-msdos-program,9762
image/vnd.dxf,9756
application/vnd.lotus-organizer,9655
application/vnd.oasis.opendocument.spreadsheet,9155
application/x-stata-syntax,8876
application/prj,7167
type/x-r-syntax,6722
application/wsdl+xml,6245
application/stac+json,5769
application/x-qgis,5623
application/netcdf,5274
text/plain; charset=US-ASCII,5134
application/vnd.ogc.fg+json,5073
application/x-stata,5024
application/x-spss-sav,4833
text/turtle,4488
application/x-sqlite3,4370
image/jp2,4367
application/x-gzip,3965
text/comma-separated-values,3746
audio/midi,3713
application/ld+json,3123
application/x-rar-compressed,2944
text/JSON,2913
application/x-zip-compressed,2886
application/gml+xml,2748
application/x-tar,2521
application/x-sas-syntax,2496
