name,count
cdi00004185,3715971
cdi00004409,2979113
cdi00000602,1362335
cdi00004182,1181012
cdi00004454,735307
cdi00000420,521224
cdi00001986,444973
cdi00004976,376807
temp00003521,363507
cdi00001985,337480
cdi00001976,328876
cdi00001616,300088
cdi00000901,287050
cdi00001633,242143
cdi00000465,226544
cdi00000397,208349
temp00004682,199538
temp00004818,189097
cdi00000106,184285
cdi00000112,181504
cdi00001969,179220
cdi00001186,148663
cdi00004187,135609
cdi00004285,126692
cdi00000446,118967
cdi00001312,110706
cdi00001690,107646
temp00000269,85380
cdi00001289,79768
cdi00004291,68628
cdi00000764,65956
cdi00000437,65243
cdi00000229,65147
cdi00000055,55772
cdi00002312,53906
cdi00000785,45496
cdi00004127,44466
cdi00002151,44111
cdi00000637,43794
cdi00000282,43725
cdi00001692,43497
cdi00000311,41298
cdi00004453,39684
cdi00001666,39436
cdi00001623,37112
cdi00000753,32933
cdi00004456,32929
cdi00001596,32204
cdi00001241,32180
temp00001519,31402
cdi00004138,31239
cdi00000074,30718
cdi00000310,30632
cdi00004299,30013
cdi00004986,29018
temp00001470,29001
cdi00004985,28997
cdi00002440,28959
cdi00004136,28595
cdi00000902,26964
cdi00001534,25634
cdi00000385,25239
cdi00002002,25154
cdi00004311,23802
cdi00000635,23597
cdi00001285,23040
cdi00001997,22648
cdi00000930,22452
cdi00001627,22278
cdi00001939,21929
cdi00000563,20841
cdi00000328,20784
cdi00004222,20777
cdi00004404,20464
cdi00001227,20162
cdi00000917,19726
cdi00000998,19405
cdi00001255,19138
temp00000859,19102
cdi00001173,18920
cdi00002430,18784
temp00003837,17965
cdi00000751,17917
cdi00001168,17583
cdi00000081,17182
temp00002720,17027
cdi00001548,16681
cdi00000103,16303
cdi00002089,16111
temp00004804,15969
cdi00004287,15361
cdi00001955,15145
temp00003304,15000
cdi00004800,14913
cdi00004452,14745
cdi00004298,14727
cdi00004914,14551
temp00004879,14551
cdi00004984,14495
cdi00004154,14400
cdi00000068,14128
cdi00002307,13930
cdi00004286,13735
cdi00002451,13642
cdi00000989,12994
cdi00002309,12972
cdi00004455,12852
cdi00000958,12588
cdi00001254,12569
cdi00004980,12435
cdi00000540,12418
temp00004813,12414
cdi00001541,12412
temp00003610,12412
cdi00000593,12388
temp00000400,12313
temp00003765,12305
cdi00005275,12098
temp00003390,11659
cdi00004230,11399
cdi00001978,11273
cdi00002006,11182
cdi00004167,10939
cdi00002456,10752
cdi00000863,10657
temp00004538,10657
temp00003554,10595
temp00001986,10425
cdi00004982,10173
temp00005296,10158
cdi00002517,10000
cdi00002608,9988
cdi00000656,9860
cdi00001902,9749
cdi00001136,9728
cdi00004294,9707
temp00002742,9682
temp00002750,9682
temp00003465,9638
cdi00002334,9413
cdi00000098,9143
temp00001265,9097
temp00003419,9097
cdi00004305,8949
cdi00005003,8829
cdi00001492,8822
cdi00004290,8672
cdi00000351,8598
temp00002010,8487
temp00003364,8462
cdi00000618,8456
cdi00004288,8383
cdi00001001,8233
cdi00004912,8233
cdi00001363,8215
cdi00001629,8200
temp00004832,8184
cdi00002609,8145
temp00004833,8134
temp00000670,8128
cdi00000636,8073
cdi00000519,8060
cdi00004977,7894
cdi00000686,7880
temp00000815,7767
cdi00001195,7704
cdi00001192,7492
cdi00000890,7443
cdi00000542,7434
cdi00004308,7400
cdi00005027,7297
temp00001403,7294
cdi00001493,7247
temp00005271,7221
cdi00004975,7195
cdi00000921,6968
cdi00001456,6931
cdi00000008,6930
temp00004781,6930
temp00004484,6925
temp00003433,6870
temp00004696,6856
cdi00004137,6810
temp00003459,6804
cdi00000111,6731
cdi00002611,6710
cdi00000754,6698
temp00005791,6696
temp00004712,6689
cdi00001460,6595
cdi00000959,6566
cdi00000445,6557
temp00004024,6503
cdi00002308,6245
temp00001768,6192
cdi00000108,6137
cdi00004344,6132
cdi00001283,6085
temp00004047,6083
temp00003654,6027
cdi00000641,6026
cdi00000415,5989
cdi00001342,5980
temp00005704,5934
cdi00004302,5932
temp00002729,5833
cdi00002133,5790
cdi00004293,5769
cdi00000110,5724
cdi00004301,5580
cdi00001981,5569
cdi00001119,5509
cdi00004474,5497
temp00002009,5470
cdi00002030,5469
temp00003522,5413
cdi00000642,5399
cdi00002090,5346
cdi00001870,5271
temp00000486,5240
temp00001473,5225
temp00001476,5225
temp00003588,5225
cdi00004782,5128
temp00001329,4949
cdi00000888,4929
cdi00000088,4921
cdi00000076,4885
temp00002797,4875
temp00003603,4826
cdi00000529,4823
temp00004276,4821
temp00000806,4785
temp00000807,4785
cdi00000897,4752
cdi00000567,4736
temp00005402,4733
cdi00000639,4722
temp00005263,4712
temp00000287,4701
temp00001187,4700
cdi00001269,4676
cdi00001128,4665
cdi00004801,4615
temp00005575,4612
temp00001097,4607
cdi00000386,4592
cdi00002093,4536
cdi00004783,4533
cdi00004292,4464
temp00004703,4447
temp00003367,4444
cdi00000906,4350
cdi00000768,4344
cdi00001220,4296
temp00000699,4265
cdi00000493,4263
temp00002462,4236
cdi00001742,4226
cdi00003687,4224
cdi00000936,4215
cdi00005247,4201
cdi00003613,4174
cdi00004296,4120
cdi00004979,4118
temp00005925,4101
cdi00004309,4092
cdi00001995,4077
temp00001774,4063
cdi00000188,4042
temp00004933,4020
temp00004951,3986
temp00001793,3982
cdi00000624,3945
cdi00004499,3945
temp00003626,3937
cdi00005042,3926
temp00000176,3926
temp00002237,3864
cdi00004163,3820
cdi00002122,3819
cdi00005004,3791
temp00002812,3787
temp00005577,3775
cdi00000623,3752
temp00004888,3735
cdi00002123,3727
cdi00004916,3684
temp00003358,3684
cdi00004295,3642
temp00000774,3642
cdi00000421,3613
cdi00005126,3594
cdi00001341,3581
temp00005411,3580
temp00001797,3577
temp00001536,3576
temp00002061,3559
temp00000972,3515
temp00003036,3515
temp00002754,3511
cdi00001893,3508
temp00002803,3397
cdi00004915,3392
cdi00002161,3388
