name,count
Baden-Wurttemberg,1123174
Queensland,372949
Hamburg,226544
Rheinland-Pfalz,71820
Rio Grande do Sul,67914
England,54053
California,45532
Manitoba,44362
Jawa Tengah,40073
New South Wales,37230
Victoria,34750
Flemish Region,34145
Alberta,33050
Mecklenburg-Vorpommern,31239
Schleswig-Holstein,28959
Canarias,26422
Nordrhein-Westfalen,24327
Catalunya,22210
Texas,21755
Tasmania,21752
Tokyo,16489
Grand-Est,15267
British Columbia,14994
Kalimantan Barat,13744
Occitanie,13629
Nouvelle-Aquitaine,13406
Toscana,12588
Alaska,11726
Utah,10885
Maryland,10534
Scotland,10489
Ohio,10134
Andalucia,9998
North Carolina,9971
Bern,9661
Berlin,9176
Washington,8934
Bretagne,8265
Kalimantan Timur,8244
Cundinamarca,8145
Canterbury,7944
Ontario,7838
New York,7604
Auckland,7360
Piemonte,7275
Distrito Capital de Bogota,7246
Tucuman,7195
Western Australia,7070
Oregon,6908
Thuringen,6880
Trentino-Alto Adige,6566
Khyber Pakhtunkhwa,6262
Zuid-Holland,6203
Colorado,6059
Nova Scotia,6057
New Jersey,6038
Lombardia,5987
Arizona,5747
Ciudad de México,5580
Atyrau oblysy,5469
Florida,5409
District of Columbia,5397
Pennsylvania,5376
Iowa,5263
Michigan,5244
Pais Vasco,5209
New Mexico,4941
Tartumaa,4882
Noord-Holland,4729
Ba Ria - Vung Tau,4607
Minnesota,4546
"Valenciana, Comunidad",4369
Niedersachsen,4217
Wellington,4206
Illinois,4072
Minas Gerais,3909
Connecticut,3827
Wales,3826
Brussels Hoofdstedelijk Gewest,3502
Kaohsiung,3382
Indiana,3368
Umbria,3364
Hawaii,3266
Shizuoka,3239
Vermont,3229
Veneto,3123
Antwerpen,3120
Sumatera Selatan,3108
Virginia,3090
South Australia,3052
Emilia-Romagna,3011
Saskatchewan,3001
Massachusetts,2987
Cantabria,2898
Kentucky,2790
Delhi,2731
Sumatera Barat,2649
Georgia,2610
Idaho,2605
Galicia,2555
Taipei,2521
Daugavpils,2498
Viken,2423
Friuli Venezia Giulia,2411
Hiroshima,2350
Bayern,2338
Pichincha,2296
Uusimaa,2289
Nevada,2269
Quebec,2245
Sardegna,2222
Chiba,2209
Taoyuan,2187
"Murcia, Region de",2161
Madhya Pradesh,2107
Bratislavsky kraj,2079
Sofia (stolitsa),2065
Oklahoma,2011
"Madrid, Comunidad de",1994
Reunion,1947
Buenos Aires,1933
Australian Capital Territory,1834
Noord-Brabant,1824
Tainan,1800
Primorskiy kray,1770
Gifu,1734
Antioquia,1710
Maine,1701
Trnava,1652
Zeeland,1645
New Hampshire,1644
Ile-de-France,1642
Mississippi,1632
Oslo,1623
Newfoundland and Labrador,1578
Missouri,1539
