name,count
Regions and cities,2413451
Economy and finance,2030007
Environment,1874167
"Education, culture and sport",1305502
Population and society,529653
Health,482228
Government and public sector,409998
Science and technology,268195
Transport,136666
"Agriculture, fisheries, forestry and food",98514
Energy,30105
"Justice, legal system and public safety",27273
Education culture and sport,5020
International issues,1220
Justice legal system and public safety,1217
Agriculture fisheries forestry and food,622
 Education culture and sport,564
 Science and technology,552
 Justice legal system and public safety,398
 Regions and cities,334
 Transport,240
 Health,227
 International issues,142
 Environment,132
 Population and society,105
 Government and public sector,63
 Energy,33
 Agriculture fisheries forestry and food,31
Culture and heritage,1
Culture and sport,1
Sport,1
