name,count
Germany,2750299
European Union,1475162
United States,1059709
World,764542
Australia,548439
United Kingdom,377757
France,293877
Netherlands,286009
Indonesia,282526
Canada,267578
Unknown,262661
Russian Federation,241048
Brazil,215063
Spain,177056
Portugal,166054
Poland,160502
Switzerland,155016
New Zealand,135238
Czech Republic,129841
Belgium,114837
Italy,109762
Austria,104974
Colombia,102499
India,97720
Argentina,94474
Thailand,83153
Greece,81890
Mexico,79480
Finland,69849
Japan,66512
Ireland,61776
Sweden,59697
Saudi Arabia,51636
Denmark,47230
China,46103
Antarctic,44120
Norway,41040
Ecuador,38189
Chile,37172
Luxembourg,35817
Peru,35251
Kazakhstan,34979
Oceania,34855
Cambodia,34536
Estonia,32889
Israel,32217
Romania,31838
All countries (total),31322
Lithuania,31058
South Africa,30561
Bolivia,30134
Slovakia,29596
Pakistan,29227
Malaysia,28922
Panama,28342
Nigeria,27996
Hungary,27528
Mongolia,27499
Kenya,27341
Latvia,27310
Singapore,26824
Serbia,26767
Philippines,26447
Croatia,26446
Iceland,26140
Bulgaria,25845
Uruguay,25791
Mauritania,25658
Costa Rica,25301
Uganda,24625
Madagascar,24488
Bangladesh,24381
Sri Lanka,24252
Rwanda,24217
Paraguay,23664
Nepal,23653
Ethiopia,23607
Albania,23523
Cote d'Ivoire,23360
Zambia,23352
Guatemala,23284
Bosnia and Herzegovina,23251
Liberia,23183
Morocco,23145
Moldova,23143
Cameroon,23136
Honduras,23123
Tajikistan,23122
Georgia,23104
Djibouti,23097
Taiwan,23064
Nicaragua,23007
El Salvador,22931
Burkina Faso,22818
Mauritius,22733
Benin,22722
Sierra Leone,22701
Dominican Republic,22697
Kyrgyz Republic,22633
Malawi,22515
Papua New Guinea,22435
Slovenia,22394
Ukraine,22379
Afghanistan,22150
Tunisia,22147
Tanzania,22116
Cyprus,22095
Jordan,21893
Armenia,21883
Namibia,21842
"Yemen, Rep.",21782
Senegal,21756
Uzbekistan,21728
Togo,21657
"Egypt, Arab Rep.",21584
Lesotho,21536
Jamaica,21523
Kosovo,21507
Mozambique,21369
Turkiye,21364
Tonga,21300
Lebanon,21279
Slovak Republic,21157
Ghana,21132
Belize,21021
Fiji,20997
Belarus,20985
Solomon Islands,20899
Guinea,20868
"Gambia, The",20853
Botswana,20841
Montenegro,20832
Mali,20828
Niger,20797
Central African Republic,20740
West Bank and Gaza,20633
Chad,20617
Haiti,20536
"Congo, Dem. Rep.",20525
Samoa,20519
Zimbabwe,20414
Angola,20317
Malta,20226
Maldives,20166
Gabon,20053
Czechia,20026
Lao PDR,19905
Algeria,19895
Myanmar,19844
Trinidad and Tobago,19834
"Congo, Rep.",19804
Sudan,19741
Eswatini,19727
Comoros,19688
Bhutan,19667
Palau,19568
Kiribati,19543
Azerbaijan,19403
Sao Tome and Principe,19309
Dominica,19259
Iraq,19150
South Sudan,19117
Timor-Leste,19098
Isle of Man,19074
United Arab Emirates,18989
Vanuatu,18987
North Macedonia,18942
Viet Nam,18816
"Iran, Islamic Rep.",18796
"Venezuela, RB",18618
Guinea-Bissau,18606
Cabo Verde,18600
"Korea, Rep.",18384
Syrian Arab Republic,18249
Seychelles,18179
Qatar,18052
St. Lucia,17773
Burundi,17678
Bahrain,17657
Suriname,17656
Marshall Islands,17309
Somalia,17266
Kuwait,17134
"Micronesia, Fed. Sts.",17095
"Hong Kong SAR, China",16989
"Bahamas, The",16896
Barbados,16358
Greenland,16212
Guyana,16107
Sub-Saharan Africa ,16071
Oman,15923
Antigua and Barbuda,15780
Libya,15617
Puerto Rico,15438
Upper middle income,15271
Lower middle income,15271
Low income,15271
South Asia,15269
Cayman Islands,15236
High income,15235
Europe & Central Asia,15233
Middle East & North Africa,15233
Latin America & Caribbean ,15233
East Asia & Pacific,15233
Bermuda,14797
