country,software,count
Germany,Geonetwork,2378574
European Union,CKAN,1376062
Unknown,CKAN,923262
United States,CKAN,695087
Unknown,Data.WorldBank.org platform,677354
Unknown,Data.bis.org platform,594633
Indonesia,CKAN,560227
Australia,CKAN,426343
Germany,CKAN,391020
World,ECB data portal,364613
World,CKAN,284744
France,Geonetwork,248001
Russian Federation,Geonetwork,195146
Mozambique,ECB data portal,192721
Australia,Geonetwork,178284
Netherlands,Dataverse,164356
United States,Dataverse,152549
European Union,GeoServer,141045
United Kingdom,CKAN,140700
Italy,ECB data portal,134627
United States,ArcGIS Server,131731
Canada,CKAN,131088
European Union,Geonetwork,124304
Hungary,ECB data portal,118392
Netherlands,ECB data portal,118185
Spain,ECB data portal,118089
Portugal,CKAN,112302
Latvia,ECB data portal,110699
Switzerland,ArcGIS Server,104685
Sweden,ECB data portal,103160
France,ECB data portal,100708
Germany,ECB data portal,97104
United States,ArcGIS Hub,96974
United Kingdom,Geonetwork,95328
Slovakia,ECB data portal,94396
Slovenia,ECB data portal,91241
Brazil,Geonetwork,90826
Croatia,ECB data portal,90645
Romania,ECB data portal,90521
Czech Republic,ECB data portal,87936
Poland,ECB data portal,86860
United States,Socrata,86296
Japan,CKAN,86199
Greece,ECB data portal,83661
Lithuania,ECB data portal,81619
Estonia,ECB data portal,80858
Bulgaria,ECB data portal,80689
Austria,ECB data portal,80248
Poland,Dataverse,79768
Brazil,CKAN,77415
Malta,ECB data portal,77366
Denmark,ECB data portal,75156
Finland,ECB data portal,73967
Belgium,ECB data portal,72888
Unknown,ArcGIS Server,72672
Cyprus,ECB data portal,72168
Ireland,ECB data portal,70505
Luxembourg,ECB data portal,70063
Canada,ArcGIS Server,65488
Mozambique,Data.WorldBank.org platform,61137
Austria,CKAN,59330
Netherlands,Geonetwork,58336
Argentina,Geonetwork,58080
Poland,Geonetwork,52287
Thailand,CKAN,52195
Unknown,GeoNode,50843
Spain,Geonetwork,47881
Serbia,Data.WorldBank.org platform,47691
Antarctic,Geonetwork,44111
Unknown,GeoServer,43815
New Zealand,Geonetwork,42965
Spain,CKAN,40432
Italy,CKAN,40257
Australia,GeoServer,39901
Germany,ArcGIS Server,38583
Canada,ArcGIS Hub,38452
Italy,Geonetwork,38180
Unknown,ArcGIS Hub,38052
Belgium,Geonetwork,35422
Ukraine,CKAN,34957
Unknown,Geonetwork,33349
New Zealand,CKAN,32767
Colombia,ArcGIS Hub,31840
Australia,ArcGIS Server,30987
Switzerland,Geonetwork,30546
Tonga,Data.WorldBank.org platform,29807
Argentina,CKAN,29149
New Zealand,ArcGIS Server,28806
Czech Republic,Geonetwork,28595
South Sudan,Data.WorldBank.org platform,27184
Colombia,Socrata,26350
Greece,CKAN,26264
Switzerland,CKAN,26193
Netherlands,CKAN,26089
Spain,ArcGIS Server,25757
United States,Erddap,25452
Sweden,Data.bis.org platform,25031
Liberia,Data.WorldBank.org platform,25014
Ireland,CKAN,24426
India,CKAN,24259
Uganda,Data.WorldBank.org platform,24063
European Union,ArcGIS Server,24050
France,Data.bis.org platform,24029
Brazil,GeoServer,24025
Rwanda,Data.WorldBank.org platform,23963
Kenya,Data.WorldBank.org platform,23836
Madagascar,Data.WorldBank.org platform,23797
Sierra Leone,Data.WorldBank.org platform,23436
Nigeria,Data.WorldBank.org platform,23384
Republic of Ivory Coast,Data.WorldBank.org platform,23366
Canada,Dataverse,23321
Zambia,Data.WorldBank.org platform,23183
Tajikistan,Data.WorldBank.org platform,23182
Cambodia,Data.WorldBank.org platform,23062
Djibouti,Data.WorldBank.org platform,23058
Thailand,ArcGIS Server,23055
Belgium,GeoServer,22986
Portugal,Geonetwork,22974
Uruguay,Geonetwork,22878
Cameroon,Data.WorldBank.org platform,22816
Ethiopia,Data.WorldBank.org platform,22799
Burkina Faso,Data.WorldBank.org platform,22798
Kyrgyzstan,Data.WorldBank.org platform,22749
Nicaragua,Data.WorldBank.org platform,22615
Moldova,Data.WorldBank.org platform,22613
Bangladesh,Data.WorldBank.org platform,22585
Benin,Data.WorldBank.org platform,22576
El Salvador,Data.WorldBank.org platform,22546
Pakistan,Data.WorldBank.org platform,22460
Mongolia,Data.WorldBank.org platform,22444
Nepal,Data.WorldBank.org platform,22389
Albania,Data.WorldBank.org platform,22365
Marocco,Data.WorldBank.org platform,22328
Tunis,Data.WorldBank.org platform,22241
South Africa,Data.WorldBank.org platform,22155
Afghanistan,Data.WorldBank.org platform,22154
Mauritius,Data.WorldBank.org platform,22138
Georgia,Data.WorldBank.org platform,22092
Republica Dominicana,Data.WorldBank.org platform,22038
Saint Lucia,Data.WorldBank.org platform,21987
Paraguay,Data.WorldBank.org platform,21954
Brazil,Data.WorldBank.org platform,21902
Guatemala,Data.WorldBank.org platform,21871
Sri Lanka,Data.WorldBank.org platform,21842
China,Data.WorldBank.org platform,21817
Thailand,Data.WorldBank.org platform,21817
Yemen,Data.WorldBank.org platform,21807
Slovakia,Data.WorldBank.org platform,21798
Indonesia,Data.WorldBank.org platform,21767
Russian Federation,Data.WorldBank.org platform,21759
Bolivia,Data.WorldBank.org platform,21758
Spain,Data.bis.org platform,21742
Namibia,Data.WorldBank.org platform,21739
Senegal,Data.WorldBank.org platform,21737
Turkey,Data.WorldBank.org platform,21716
Togo,Data.WorldBank.org platform,21686
Malawi,Data.WorldBank.org platform,21673
Colombia,Data.WorldBank.org platform,21666
World,NADA,21665
Costa Rica,Data.WorldBank.org platform,21636
Uruguay,Data.WorldBank.org platform,21608
Egypt,Data.WorldBank.org platform,21590
Lesotho,Data.WorldBank.org platform,21588
Bosnia and Herzegovina,Data.WorldBank.org platform,21558
Peru,Data.WorldBank.org platform,21547
Argentina,Data.WorldBank.org platform,21519
Mexico,CKAN,21496
Chile,Data.WorldBank.org platform,21480
Kazakhstan,Data.WorldBank.org platform,21399
Phillipines,Data.WorldBank.org platform,21360
Bulgaria,Data.WorldBank.org platform,21277
Croatia,Data.WorldBank.org platform,21273
Lithuania,Data.WorldBank.org platform,21256
Latvia,Data.WorldBank.org platform,21251
Tanzania,Data.WorldBank.org platform,21241
Honduras,Data.WorldBank.org platform,21213
Armenia,Data.WorldBank.org platform,21199
Poland,Data.WorldBank.org platform,21191
Hungary,Data.WorldBank.org platform,21185
Panama,Data.WorldBank.org platform,21120
Ecuador,Data.WorldBank.org platform,21091
Jamaica,Data.WorldBank.org platform,21085
Germany,GeoServer,21079
India,Data.WorldBank.org platform,21048
Romania,Data.WorldBank.org platform,21038
Papua New Guinea,Data.WorldBank.org platform,21013
Ukraine,Data.WorldBank.org platform,21003
Mauritania,Data.WorldBank.org platform,21001
Jordan,Data.WorldBank.org platform,20946
Uzbekistan,Data.WorldBank.org platform,20921
Chad,Data.WorldBank.org platform,20919
Ghana,Data.WorldBank.org platform,20894
Gambia,Data.WorldBank.org platform,20858
Fiji,Data.WorldBank.org platform,20811
Niger,Data.WorldBank.org platform,20769
Mali,Data.WorldBank.org platform,20756
Central African Republic,Data.WorldBank.org platform,20737
Guinea,Data.WorldBank.org platform,20736
Botswana,Data.WorldBank.org platform,20730
Timor-Leste,Data.WorldBank.org platform,20714
Palestine,Data.WorldBank.org platform,20698
Solomon Islands,Data.WorldBank.org platform,20690
Lebanon,Data.WorldBank.org platform,20559
Democratic Republic of the Congo,Data.WorldBank.org platform,20535
Belize,Data.WorldBank.org platform,20479
Malaysia,Data.WorldBank.org platform,20406
Laos,Data.WorldBank.org platform,20330
Austria,Data.bis.org platform,20297
Somalia,Data.WorldBank.org platform,20289
Belarus,Data.WorldBank.org platform,20263
Samoa,Data.WorldBank.org platform,20209
Sao Tome and Principe,Data.WorldBank.org platform,20205
Angola,Data.WorldBank.org platform,20164
Eswatini,Data.WorldBank.org platform,20157
United Kingdom,Data.bis.org platform,20110
Netherlands,Data.bis.org platform,20052
Unknown,Custom software,20035
Netherlands,GeoServer,19952
Sudan,Data.WorldBank.org platform,19939
Maldives,Data.WorldBank.org platform,19937
Haiti,Data.WorldBank.org platform,19922
Zimbabwe,Data.WorldBank.org platform,19817
Congo,Data.WorldBank.org platform,19808
Gabon,Data.WorldBank.org platform,19768
Comoros,Data.WorldBank.org platform,19688
Italy,Data.bis.org platform,19662
Myanmar,Data.WorldBank.org platform,19534
Netherlands,ArcGIS Server,19496
Trinidad and Tobago,Data.WorldBank.org platform,19460
Bhutan,Data.WorldBank.org platform,19449
Kiribati,Data.WorldBank.org platform,19262
Dominica,Data.WorldBank.org platform,19164
Oceania,DKAN,19138
Montenegro,Data.WorldBank.org platform,19136
Palau,Data.WorldBank.org platform,19109
Sweden,Data.WorldBank.org platform,19015
Iraq,Data.WorldBank.org platform,18993
United Kingdom,ECB data portal,18951
Vietnam,Data.WorldBank.org platform,18875
Azerbaijan,Data.WorldBank.org platform,18832
Iran,Data.WorldBank.org platform,18820
Makedonia,Data.WorldBank.org platform,18751
Venezuela,Data.WorldBank.org platform,18682
Greece,ArcGIS Server,18677
Slovenia,Data.WorldBank.org platform,18627
Estonia,Data.WorldBank.org platform,18603
Guinea-Bissau,Data.WorldBank.org platform,18600
Belgium,Data.WorldBank.org platform,18582
Saudi Arabia,Data.WorldBank.org platform,18570
Italy,GeoServer,18550
Luxembourg,Data.WorldBank.org platform,18528
Denmark,Data.WorldBank.org platform,18527
Norway,Data.WorldBank.org platform,18523
South Korea,Data.WorldBank.org platform,18518
Germany,Data.WorldBank.org platform,18518
Italy,Data.WorldBank.org platform,18510
Australia,Data.bis.org platform,18503
Cabo Verde,Data.WorldBank.org platform,18501
Malta,Data.WorldBank.org platform,18484
Greece,Data.WorldBank.org platform,18484
Syrian Arab Republic,Data.WorldBank.org platform,18481
Spain,Data.WorldBank.org platform,18469
World,Data.WorldBank.org platform,18466
Netherlands,Data.WorldBank.org platform,18371
Finland,Data.WorldBank.org platform,18370
Austria,Data.WorldBank.org platform,18369
France,Data.WorldBank.org platform,18368
Australia,Data.WorldBank.org platform,18368
Canada,Data.WorldBank.org platform,18367
United Kingdom,Data.WorldBank.org platform,18367
Seychelles,Data.WorldBank.org platform,18249
Czech Republic,Data.WorldBank.org platform,18228
Finland,Geonetwork,18161
Cyprus,Data.WorldBank.org platform,18106
Japan,Data.WorldBank.org platform,18040
Ireland,Data.WorldBank.org platform,18012
Switzerland,Data.WorldBank.org platform,18003
Iceland,Data.WorldBank.org platform,17996
Algeria,Data.WorldBank.org platform,17954
Switzerland,Data.bis.org platform,17850
Israel,Data.WorldBank.org platform,17717
Libya,Data.WorldBank.org platform,17711
Burundi,Data.WorldBank.org platform,17677
Suriname,Data.WorldBank.org platform,17676
New Zealand,Data.WorldBank.org platform,17673
Vanuatu,Data.WorldBank.org platform,17669
Canada,Data.bis.org platform,17399
Micronesia,Data.WorldBank.org platform,17100
Singapore,Data.WorldBank.org platform,17026
Hong Kong,Data.WorldBank.org platform,16992
Republic of Marshall Islands,Data.WorldBank.org platform,16980
Bahamas,Data.WorldBank.org platform,16897
Taiwan,CKAN,16688
Mozambique,Data.bis.org platform,16503
Belgium,Data.bis.org platform,16209
Guyana,Data.WorldBank.org platform,16103
World,Data.bis.org platform,15766
Kuwait,Data.WorldBank.org platform,15534
Antigua and Barbuda,Data.WorldBank.org platform,15482
Puerto Rico,Data.WorldBank.org platform,15459
"Korea, Democratic People's Republic of",Data.bis.org platform,15426
World,Geonetwork,15397
Germany,Data.bis.org platform,15361
Oman,Data.WorldBank.org platform,15285
Bahrain,Data.WorldBank.org platform,15243
Turkmenistan,Data.WorldBank.org platform,15140
Barbados,Data.WorldBank.org platform,15040
Qatar,Data.WorldBank.org platform,14954
United Arab Emirates,Data.WorldBank.org platform,14896
Taiwan,Data.bis.org platform,14880
San Marino,Data.WorldBank.org platform,14857
Ireland,Data.bis.org platform,14775
Eritrea,Data.WorldBank.org platform,14511
Equatorial Guinea,Data.WorldBank.org platform,14432
Grenada,Data.WorldBank.org platform,14376
Finland,Data.bis.org platform,14269
Tuvalu,Data.WorldBank.org platform,14049
Saint Vincent and the Grenadines,Data.WorldBank.org platform,14013
Saint Kitts and Nevis,Data.WorldBank.org platform,13971
Luxembourg,Data.bis.org platform,13892
Nauru,Data.WorldBank.org platform,13891
Cayman Islands,Data.WorldBank.org platform,13721
Denmark,Data.bis.org platform,13682
Aruba,Data.WorldBank.org platform,13375
Bermuda,Data.WorldBank.org platform,13330
Brunei,Data.WorldBank.org platform,13283
French Polynesia,Data.WorldBank.org platform,13220
Sint Maarten (Dutch part),Data.WorldBank.org platform,13214
Turks and Caicos Islands,Data.WorldBank.org platform,13190
Macau,Data.WorldBank.org platform,13060
Liechtenstein,Data.WorldBank.org platform,13053
Cuba,Data.WorldBank.org platform,13052
Mexico,ArcGIS Server,13002
"Virgin Islands, U.S.",Data.WorldBank.org platform,13000
Curaçao,Data.WorldBank.org platform,12985
Guam,Data.WorldBank.org platform,12959
Andorra,Data.WorldBank.org platform,12939
American Samoa,Data.WorldBank.org platform,12852
New Caledonia,Data.WorldBank.org platform,12848
Greenland,Data.WorldBank.org platform,12799
"Virgin Islands, British",Data.WorldBank.org platform,12751
Japan,Data.bis.org platform,12685
Monaco,Data.WorldBank.org platform,12645
"Korea, Democratic People's Republic of",Data.WorldBank.org platform,12640
Isle of Man,Data.WorldBank.org platform,12639
Faroe Islands,Data.WorldBank.org platform,12637
