country,catalog_type,count
Germany,Geoportal,2362389
European Union,Open data portal,1322920
United States,Open data portal,691843
World,Indicators catalog,665933
Germany,Open data portal,347182
Australia,Open data portal,310702
Unknown,Geoportal,253621
Indonesia,Open data portal,240120
France,Geoportal,226260
Russian Federation,Geoportal,210984
United States,Geoportal,206206
Australia,Geoportal,202031
United Kingdom,Open data portal,186614
Netherlands,Scientific data repository,155843
United Kingdom,Geoportal,154367
European Union,Geoportal,140382
United States,Scientific data repository,128885
Czech Republic,Open data portal,122041
Canada,Geoportal,117239
Portugal,Open data portal,114258
Brazil,Geoportal,111895
Spain,Geoportal,102358
Switzerland,Geoportal,99761
Canada,Open data portal,91048
New Zealand,Geoportal,83290
Netherlands,Geoportal,79758
Poland,Scientific data repository,79756
Belgium,Geoportal,78521
Brazil,Open data portal,72190
Argentina,Geoportal,60971
Poland,Geoportal,57667
Italy,Geoportal,56409
Colombia,Geoportal,50080
Austria,Open data portal,48680
Antarctic,Geoportal,44120
World,Open data portal,43051
Greece,Geoportal,41563
France,Indicators catalog,40690
India,Microdata catalog,39172
Spain,Indicators catalog,38740
Austria,Indicators catalog,37537
United Kingdom,Indicators catalog,36776
Italy,Indicators catalog,36752
Sweden,Indicators catalog,36630
Australia,Indicators catalog,35706
Thailand,Geoportal,35660
Switzerland,Indicators catalog,34708
Finland,Geoportal,34572
Spain,Open data portal,34186
Canada,Indicators catalog,34160
Netherlands,Indicators catalog,33892
Belgium,Indicators catalog,33325
United States,Indicators catalog,32775
Germany,Indicators catalog,32698
Japan,Indicators catalog,32429
New Zealand,Open data portal,32210
Ireland,Indicators catalog,31994
Mexico,Geoportal,31928
Finland,Indicators catalog,31533
All countries (total),Indicators catalog,31322
Luxembourg,Indicators catalog,31185
Oceania,Open data portal,30931
Japan,Open data portal,30563
Denmark,Indicators catalog,30449
India,Indicators catalog,29686
Brazil,Indicators catalog,29617
South Africa,Indicators catalog,29117
Chile,Indicators catalog,28995
Colombia,Open data portal,28900
Greece,Indicators catalog,27746
Portugal,Indicators catalog,27448
Mexico,Indicators catalog,27148
Philippines,Indicators catalog,26447
Norway,Indicators catalog,25680
Canada,Scientific data repository,25131
Singapore,Indicators catalog,24750
Portugal,Geoportal,24348
Indonesia,Indicators catalog,24221
China,Indicators catalog,24158
Slovakia,Geoportal,24126
Kenya,Indicators catalog,24099
Nigeria,Indicators catalog,24071
Thailand,Open data portal,24047
Madagascar,Indicators catalog,23934
Rwanda,Indicators catalog,23872
Uganda,Indicators catalog,23717
Argentina,Indicators catalog,23475
France,Open data portal,23385
Cote d'Ivoire,Indicators catalog,23360
Panama,Indicators catalog,23339
Zambia,Indicators catalog,23292
Thailand,Indicators catalog,23252
