name,count
.json,9676004
.html,5547410
.csv,1629656
.wms,1148979
.txt,740545
.zip,716166
.xml,707747
.kml,661920
.xlsx,581903
.pdf,509850
.jpg,440150
.png,392689
.tif,329296
.shp,319778
.gml,309691
.geojson,307531
.xls,243521
.nc,234153
.atom,216158
.kmz,214491
.geotiff,213018
".xml,.xpdl,.xsl",212419
.gif,210375
.svg,205504
.rss,180836
.wfs,167355
.wcs,149493
.docx,127728
.rdf,109298
.gpkg,70974
.jpeg,52826
.tsv,50814
.sid,39967
.mvt,38553
.topojson,38362
.tiff,36373
.xyz,32791
.gz,30121
.js,27708
.tab,26032
.px,24466
.wmts,23413
.7z,23268
.csw,19907
.text,19182
.mif,16545
.exe,16475
.netcdf,14023
.php,13588
.ods,12019
.org,11943
.dwg,11264
.dxf,10942
.fgdb,10123
.do,10075
.wsdl,9361
.qgs,7231
.prj,7176
.jp2,7087
.r,6870
.arff,5740
.gdb,5547
.sqlite,5351
.rar,5161
.sav,4866
.jsonld,4803
.sas,4368
.mid,3713
.mp4,3674
.md,3154
.doc,3016
.tar,2945
.tt;,2743
.n3,2501
.pptx,2451
.ttl,2336
.bil,2314
.dds,2297
.rtf,2294
.gpx,2249
.dat,2204
.cdf,2186
.dbf,2046
.fgb,2004
.xlsm,1721
.parquet,1665
.sps,1597
.shx,1568
.rdata,1519
.py,1379
.swf,1310
.wav,1232
.cif,1218
.hdf5,1215
.mdb,1163
.odt,1134
.cdx,1129
.ppt,1023
.mat,978
.g3w,963
.xz,816
.htm,796
.m,782
.protobuf,752
.fits,721
.turtle,719
.jsonl,662
.ps,656
.tex,612
.123,601
.avi,600
.ipynb,587
.sbx,579
.sbn,578
.com,561
.mov,550
.stl,526
.bin,521
.bmp,490
.ogg,486
.mrc,445
.mp3,429
.xlsb,422
.au,414
.ivt,409
.fh,407
.sh,360
.iso,346
.pdb,326
.ado,305
.webm,292
.3ds,290
.dgn,289
.itp,279
.c,278
.cpt,275
.cdr,273
.dta,254
.arw,198
.warc,190
.xsl,189
.hdf,185
.wmf,179
.xslt,178
.atx,165
.msi,164
.gph,148
.man,146
.tgz,126
.czml,125
.dcm,120
.asc,117
.wpd,110
.ma,107
".txt,.text",106
.tar.gz,104
.ics,102
.f,102
.yaml,98
.epub,97
.hlp,96
.sql,96
.fig,93
.xltx,87
.xht,87
.css,83
.cat,77
.eml,70
.mag,68
.nii,66
".boz,.bz2",66
.mpg,64
.dng,57
.tcl,57
.pas,54
.crd,53
.rq,52
.wmv,49
.ogv,47
.xhtml,43
.bz,41
.fcs,40
.sig,39
.xps,39
.eps,39
.raw,38
.pl,37
.jar,33
.dtd,31
.ttf,30
.aif,28
.s,28
.ico,27
.psd,26
.m4v,26
.vml,26
.java,25
.bz2,24
.pcap,24
.src,23
.odp,22
.webp,22
.graphml,22
.docm,20
.vcf,20
.skp,20
.res,19
.mkv,18
.chm,17
.str,17
.apr,14
.fst,13
.ai,13
.sit,13
.db,13
.class,13
.bdf,13
.wma,13
.qt,12
.p7b,12
.tpl,11
.nml,10
.stc,10
.emf,10
.gtar,9
.qps,9
.vtu,8
.lbe,7
.ppsx,7
.jfif,7
.mesh,7
.apk,7
.acc,7
.for,7
.ims,6
.hdt,6
.xlw,5
.pub,5
.odc,5
.asm,5
.xla,5
.xlm,5
.dna,5
.gsf,4
".heif,.heic",4
.afm,4
.dts,4
.csh,4
.dotx,4
.flv,4
.tar.xz,4
.skd,4
.geo,4
.xlt,3
.ots,3
.mpeg,3
.flx,3
.gv,3
.rst,3
.wmz,3
.es3,3
.drle,3
.nsf,3
.igs,3
.xltm,3
.m4a,3
.spx,2
.m3u,2
.mseed,2
.sxm,2
.yml,2
.abw,2
.bat,2
.latex,2
.tra,2
.dll,2
.3gp,2
.cc,2
.mb,2
.xlb,2
.odb,1
.mobi,1
.h,1
.vsd,1
.application,1
.ndjson,1
.mpa,1
.p,1
.mbox,1
.mht,1
.dot,1
.cpp,1
.dsc,1
.markdown,1
.ssf,1
.aw,1
.daf,1
.otf,1
.ms,1
.pyc,1
.f90,1
.inc,1
.mts,1
.p7s,1
.h264,1
.heic,1
