name,count
English,11316523
German,2896837
Spanish,392575
French,356048
Indonesian,254774
Dutch,250189
Russian,234866
Portugal,215123
Polish,137551
Italian,117078
Thai,59901
Greek,56175
Arabic,45507
Finnish,41565
Japanese,34083
Chinese,29650
Swedish,28649
Slovak,25816
Danish,23490
Estonian,14675
Norwegian,14660
Hebrew,12342
Latvian,11014
Serbian,10545
Vietnamese,10277
Romanian,9994
Makedonian,8581
Czech,7967
Lithuanian,7953
Icelandic,7095
Korean,6290
Malay,5277
Mongolian,4518
Croatian,4386
Hungarian,4361
Persian,4263
Bulgarian,3287
Turkish,2225
Kazakh,1955
Bengali,1664
Englisj,1579
Slovenian,1465
Albanian,966
Ukrainian,964
Kirghiz,646
Georgian,626
Ethiopia,561
Uzbek,486
Lao,412
Dzongkha,214
Azerbaijani,150
Armenian,101
Catalan,96
Tagalog,19
