name,count
Western Europe,3502101
Northern America,1264668
Australia and New Zealand,628233
Northern Europe,530598
Southern Europe,434153
Eastern Europe ,399847
South America,386657
South-eastern Asia,354415
Eastern Europe,133382
Southern Asia,84144
Eastern Asia,79354
Central America,64508
Western Asia,58585
Antarctica,44120
Central Asia,15525
Northern Africa,12796
Western Africa,10178
Eastern Africa,7641
Caribbean,4446
Melanesia,3121
Polynesia,2802
Micronesia,2537
Southern Africa,1572
Middle Africa,151
