name,count
,7600634
.json,7036301
,3970041
.html,3519718
.csv,3196699
.jpg,2029164
.txt,1923141
.xml,1804926
.gml,1714721
.wms,1301661
.tif,1289155
.zip,1176417
.kml,1149594
.png,1105448
.pdf,1039976
.xlsx,1013163
.xls,717387
.nc,583574
.geotiff,533454
.shp,386712
.geojson,350163
.tsv,252065
.wfs,239014
".xml,.xpdl,.xsl",224792
.gif,222505
.kmz,219278
.atom,216214
.svg,207479
.gpkg,202694
.docx,190580
.wcs,168366
.jpeg,149327
.rss,146520
.gz,138331
.rdf,113859
.dcm,77143
.mat,71132
.org,65782
.dat,60936
.sid,52539
.exe,50464
.tiff,48618
.mif,46445
.netcdf,43705
.fits,42878
.do,40252
.xyz,39369
.mp4,39264
.mvt,38553
.topojson,38394
.px,37018
.hdf5,34474
.mid,33512
.php,30919
.ods,30810
.7z,30684
.r,30488
.wav,29552
.js,28765
.tab,27617
.dxf,25288
.wmts,24372
.text,21982
.csw,20059
.m,20051
.rar,19025
.bmp,17613
.tar,17240
.dng,14162
.prj,13303
.sqlite,13050
.jp2,12891
.dbf,12446
.dwg,12308
.shx,10276
.fgdb,10154
.rdata,9538
.py,9532
.wsdl,9364
.qgs,8799
.gdb,7907
.doc,7259
.sas,7200
.rtf,6915
.tex,6706
.md,6660
.mp3,6478
.sav,6156
.arw,5965
.arff,5740
.jsonld,5733
.cdf,5686
.pptx,5423
.avi,5309
.ps,5183
.nii,4943
.mov,4628
.stl,4599
.xlsm,4379
.pdb,4245
.tt;,4194
.ado,3478
.atx,3426
".boz,.bz2",3345
.odt,3158
.sps,3100
.fcs,3085
.fig,2802
.sbx,2728
.gpx,2610
.xz,2558
.n3,2519
.ttl,2430
.sbn,2368
.bil,2321
.dds,2297
.gph,2255
.c,2181
.parquet,2136
.ivt,2125
.ogg,2064
.fgb,2028
.ipynb,1975
.itp,1967
.graphml,1778
.cif,1533
.sh,1506
.ppt,1357
.swf,1310
.f,1306
.mdb,1289
.g3w,1278
.java,1273
.htm,1246
.raw,1243
.cdr,1215
.sxm,1213
.cpt,1190
.bz,1164
.tar.gz,1161
.cdx,1129
.mrc,1085
.vcf,1049
.pcap,1012
.apr,983
.fh,903
.vtu,896
.h264,856
.hlp,821
.protobuf,752
.turtle,725
.bin,711
.css,689
.dta,679
.jsonl,665
.com,658
.bdf,651
.class,631
.123,603
.xlsb,592
.au,585
.gsf,556
.drle,512
.ims,502
.p7b,481
.iso,472
.warc,456
.pas,430
.crd,423
.3ds,363
.sql,363
.webm,318
.dgn,315
.hdf,310
.ma,295
.res,293
.wpd,274
.man,267
.asc,266
.wmv,260
.wmf,260
.xsl,258
.emf,257
.czml,250
.epub,249
.ics,196
.aif,191
.tgz,189
".txt,.text",182
.xslt,181
.psd,171
.msi,168
.yaml,165
.m4v,151
.webp,141
.eps,141
.tpl,139
.eml,130
.xltx,126
.jar,121
.ttf,115
.xht,104
.skd,101
".heif,.heic",98
.mkv,96
.nsf,91
.qps,85
.rq,84
.cat,77
.dsc,69
.mag,68
.mpg,66
.str,65
.docm,64
.src,64
.flx,62
.tcl,62
.nml,57
.vml,57
.acc,51
.bz2,50
.sig,50
.gtar,50
.ogv,50
.wma,48
.xps,47
.xhtml,47
.dtd,47
.odc,43
.pl,38
.fst,37
.odp,34
.dna,30
.ico,30
.ssf,30
.s,28
.ai,25
.lbe,24
.stc,23
.skp,23
.pub,22
.p7s,22
.chm,21
.flv,21
.afm,20
.dts,20
.mb,17
.igs,16
.asm,15
.db,14
.pyc,14
.sit,13
.mesh,13
.qt,12
.mts,10
.for,10
.ppsx,9
.jfif,9
.tar.xz,9
.mbox,8
.hdt,7
.apk,7
.xlm,7
.xlt,6
.dotx,6
.dll,6
.daf,6
.es3,6
.xla,5
.xlw,5
.yml,5
.wmz,5
.gv,5
.csh,5
.ndjson,4
.m3u,4
.xltm,4
.mpeg,4
.geo,4
.3gp,4
.rst,3
.spx,3
.ots,3
.mseed,3
.m4a,3
.latex,3
.abw,2
.dot,2
.bat,2
.xlb,2
.tra,2
.cc,2
.mpa,1
.ms,1
.p,1
.mobi,1
.application,1
.h,1
.odb,1
.vsd,1
.f90,1
.heic,1
.cpp,1
.mht,1
.markdown,1
.aw,1
.inc,1
.otf,1
