name,count
,6119156
application/json,5708888
text/plain,1771804
text/csv,1728209
image/jpeg,1702964
text/html,1611321
text/xml,1413221
text/HTML,1299234
application/vnd.ogc.wms_xml,1072456
text/xml; subtype=gml/3.1.1,840350
application/PDF,801775
image/tiff,684000
application/vnd.google-earth.kml+xml,670686
application/zip,643615
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,603043
application/pdf,563755
application/octet-stream,540134
application/x-netcdf,413037
Image/png,412934
application/vnd.ms-excel,278150
application/zipped-shapefile,263857
text/tab-separated-values,224632
application/vnd.ogc.wfs_xml,200323
application/vnd.geo+json,185383
text/xml; subtype=gml/2.1.2,175827
text/xml; subtype=gml/3.2,175755
application/atom+xml,173313
image/gif,171960
application/vnd.google-earth.kmz,170793
image/geotiff,169541
image/svg+xml,165490
image/geotiff8,163397
image/tiff8,163397
application/xml,156388
image/png; mode=8bit,133939
application/rss+xml,133443
application/vnd.google-earth.kml+xml;mode=networklink,133233
text/html; subtype=openlayers,131900
application/gml+xml; version=3.2,129421
image/png,128645
application/vnd.google-earth.kml xml,125506
application/json;type=utfgrid,125431
image/vnd.jpeg-png,125172
text/html; subtype=openlayers3,106537
text/html; subtype=openlayers2,106537
image/vnd.jpeg-png8,98548
application/rdf+xml,83129
application/gzip,76389
application/dicom,76032
application/vnd.ogc.wcs_xml,69964
application/x-gpkg,68384
text/x-fixed-field,52282
application/matlab-mat,48616
application/netcdf,46572
application/vnd.openxmlformats-officedocument.wordprocessingml.document,44697
text/plain; charset=US-ASCII,41229
application/json;type=topojson,37916
application/json;type=geojson,37784
application/vnd.mapbox-vector-tile,37252
application/x-gzip,37085
application/vnd.mif,36863
audio/prs.sid,35989
application/x-stata-syntax,35595
application/geo+json,32254
text/javascript,31315
image/png8,29524
type/x-r-syntax,28844
application/msword,27933
application/fits,27643
audio/midi,26270
application/x-7z-compressed,25310
image/vnd.dxf,23474
chemical/x-xyz,21970
text/tab,20697
application/x-hdf,20231
text/x-matlab,18702
application/vnd.oasis.opendocument.spreadsheet,18528
text/pc-axis,17340
application/mp4,16051
image/fits,14996
application/x-filegdb,14899
application/vnd.lotus-organizer,14161
image/x-adobe-dng,13362
video/mp4,13233
image/vnd.dwg,13134
application/stac+json,12857
application/x-tar,12376
application/x-stata,12183
application/vnd.sdmx.data+csv; charset=utf-8; labels=both,12062
application/vnd.ogc.csw.capabilities.response_xml,11986
application/prj,11925
application/dbf,10489
application/x-rar-compressed,10321
application/geopackage+sqlite3,10236
text/comma-separated-values,10049
image/x-ms-bmp,9558
application/x-rlang-transport,9352
text/tsv,8741
audio/x-wav,8603
application/x-hdf5,8480
application/shx,8436
application/shp,8278
text/php,8228
audio/vnd.wave,7786
image/jp2,7774
image/bmp,7064
application/x-qgis,6952
application/x-msdos-program,6680
application/x-sqlite3,6519
application/x-tex,6507
application/gml+xml,6414
text/x-python,6327
application/wsdl+xml,6237
audio/wav,6150
audio/mpeg,5957
application/x-spss-sav,5714
application/x-sql,5603
image/arw,5228
image/nii,4908
application/postscript,4771
application/x-sas-syntax,4655
application/vnd.ms-pki.stl,4419
video/quicktime,4104
application/vnd.palm,4094
text/wms,4069
text/turtle,3920
application/x-h5,3623
video/mpeg4,3618
application/vnd.openxmlformats-officedocument.presentationml.presentation,3378
application/x-bzip2,3354
application/x-stata-ado,3269
video/x-msvideo,3145
application/x-zip-compressed,3131
text/markdown,3070
application/x-spss-syntax,3021
text/x-stata-syntax; charset=US-ASCII,2850
application/vnd.isac.fcs,2722
audio/x-wave,2719
application/x-matlab-data,2718
application/vnd.antix.game-component,2562
application/x-xz,2552
application/vnd.pc-axis,2504
application/x-xfig,2458
application/ld+json,2434
application/vnd.sdmx.data+csv; labels=both; charset=utf-8,2392
application/rtf,2267
application/vnd.ogc.wmts_xml,2259
application/vnd.flographit,2255
