name,count
,11702545
.json,4833614
HTML,1870378
,1863247
jpg,1147788
SDMX,1093233
xml,935014
CSV,922881
PDF,818196
Feature Layer,591817
XML,572305
XLSX,446848
TXT,435297
ZIP,326091
application/x-netcdf,309515
tif,302891
txt,292861
csv,276412
pdf,271093
WMS,268515
JSON,227586
XLS,210184
tab,209549
JPEG,200818
TIFF,180469
JPG,170667
png,156872
Raster Layer,147823
PNG,137761
BIN,123304
zip,120522
nc,113393
TEXT,113162
WFS,109981
ERDDAP,102089
dcm,76544
Group Layer,71900
gz,67034
html,64439
KML,63897
json,63528
xlsx,63086
Esri REST,60857
Annotation SubLayer,57605
WCS,56225
GML,55105
SHP,54027
dat,53139
GeoJSON,53063
mat,51176
do,39299
sos,38932
http://publications.europa.eu/resource/authority/file-type/CSV,37661
OPeNDAP,37199
SID,35989
ERDDAP-TableDAP,34744
xls,34672
fits,33796
gml,31397
RDF,30684
R,30138
NetCDF,28634
fh,27839
ArcGIS GeoServices REST API,26472
mid,26445
mif,26393
las,25598
m,23327
wav,21812
DOCX,21647
Table,20283
7Z,19075
docx,18084
XYZ,17992
doc,17778
http://publications.europa.eu/resource/authority/file-type/JSON,17714
TSV,17105
shp,16597
excel,15891
application/mp4,15887
Annotation Layer,15632
other,15458
dta,15070
TIF,14876
mp4,14513
dng,13240
Karte,12944
Webanwendung,12943
DWG,12084
prj,11934
ODS,11504
.xlsx,10817
GPKG,10676
dbf,10271
http://publications.europa.eu/resource/authority/file-type/WMS_SRVC,10228
npy,9766
BMP,9627
http://publications.europa.eu/resource/authority/file-type/PDF,9229
tfw,9002
MapInfo File,8851
tiff,8795
shx,8674
FileGDB,8662
DOC,8575
h5,8568
PC-Axis,8400
application/x-hdf,8255
ttl,8175
http://publications.europa.eu/resource/authority/file-type/ATOM,8037
rds,7989
hdf5,7988
px,7824
geojson,7767
ivt,7734
jpeg,7682
py,7516
http://publications.europa.eu/resource/authority/file-type/WFS_SRVC,7260
sas,7166
json-stat,7133
API,7130
bmp,6998
https://www.iana.org/assignments/media-types/text/csv,6942
log,6728
tex,6695
SERVICE,6529
csw,6491
http://publications.europa.eu/resource/authority/file-type/ZIP,6457
TAR,6308
DXF,6301
wsdl,6236
Diverse,6162
TAB,5893
mp3,5886
tar,5845
bin,5790
ARW,5786
sql,5762
ods,5660
sav,5568
GZ,5505
RData,5422
http://publications.europa.eu/resource/authority/file-type/HTML,5341
Shape,5335
SOS,5220
gif,5211
http://publications.europa.eu/resource/authority/file-type/XLSX,5183
7z,5154
onLine,5143
edf,5138
QGIS,5008
nii,5004
XSD,4969
xyz,4920
ibw,4830
fsa,4817
npz,4584
stl,4438
bz2,4408
http://publications.europa.eu/resource/authority/file-type/SHP,4389
pdb,4268
RAR,4268
rar,4257
OAF,4248
eps,4239
http://publications.europa.eu/resource/authority/file-type/PNG,4214
URL,4124
.csv,4086
ESRI REST,4080
KMZ,4033
tsv,3994
IVT,3988
dxf,3976
fig,3884
uvfits,3861
sps,3851
missRecode,3833
fcs,3790
document,3758
pkl,3751
GTiff,3638
kml,3610
set,3607
vnd.ms-excel,3591
mi,3577
application/fits,3547
KEA,3538
gro,3534
ado,3518
http://publications.europa.eu/resource/authority/file-type/JPEG,3476
raw,3395
http://publications.europa.eu/resource/authority/file-type/GML,3394
parquet,3322
CDF,3300
sac,3282
map,3280
audio/x-wav,3250
GIF,3245
http://publications.europa.eu/resource/authority/file-type/XLS,3236
origin_bins,3200
out,3180
cpg,3150
id,3134
fdt,3122
application/vnd.lotus-organizer,3115
cfrac,3098
iord,3098
core_origin,3098
http://publications.europa.eu/resource/authority/file-type/KML,3026
geotiff,3022
mca,3009
avi,3004
Rdata,2984
gsd,2967
MapInfo MIF,2922
rtf,2796
HFA,2713
JP2KAK,2708
JP2KAK_LOSSLESS,2703
https://www.iana.org/assignments/media-types/text/xml,2695
arff,2693
GDB,2689
gpkg,2656
nd2,2626
atx,2562
MIF,2556
gph,2527
warc.gz,2513
fastq,2504
nxs,2502
gdbtable,2496
Extended TAB,2490
fit,2490
gdbtablx,2448
1,2443
pptx,2372
mov,2335
Mosaic Layer,2295
pickle,2292
fas,2222
EXE,2220
OGC WMS,2202
ArcGIS Online Map,2186
URI,2170
asc,2165
OGC WFS,2148
sbn,2135
sbx,2135
qpj,2134
RSS,2071
xtc,2057
