name,count
,11065315
application/json,5376668
text/plain,1730095
image/jpeg,1638438
text/html,1299237
text/xml,996528
text/csv,870033
application/pdf,803520
application/vnd.ogc.wms_xml,791420
image/tiff,581391
application/octet-stream,539781
application/vnd.google-earth.kml+xml,473022
image/png,412966
application/zip,339984
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,292837
WWW:DOWNLOAD-1.0-http--download,268662
text/tab-separated-values,224389
csv,191236
json,190803
SHAPE-ZIP,189285
text/xml; subtype=gml/3.1.1,186342
text/xml; subtype=gml/2.1.2,175827
gml3,175824
GML2,175824
gml32,175755
text/xml; subtype=gml/3.2,175755
application/vnd.google-earth.kmz,170795
image/gif,169753
image/svg+xml,165182
application/atom+xml,163493
image/geotiff8,163399
image/geotiff,163399
image/tiff8,163399
application/xml,156388
application/vnd.geo+json,145192
image/png; mode=8bit,133941
application/vnd.google-earth.kml+xml;mode=networklink,133235
text/html; subtype=openlayers,131902
application/rss+xml,131158
application/gml+xml; version=3.2,129421
KML,125509
application/vnd.google-earth.kml xml,125506
application/json;type=utfgrid,125433
image/vnd.jpeg-png,125174
application/vnd.ms-excel,111280
text/html; subtype=openlayers3,106539
text/html; subtype=openlayers2,106539
application/x-netcdf,101632
image/vnd.jpeg-png8,98550
application/rdf+xml,76575
application/dicom,76032
data/various-formats,67654
application/http,53624
text/x-fixed-field,51869
application/matlab-mat,48467
GML2-GZIP,48164
application/gzip,47650
,43959
OGC:WFS,41724
text/plain; charset=US-ASCII,41229
1,38485
application/json;type=geojson,37786
application/json;type=topojson,37786
excel,37717
application/vnd.mapbox-vector-tile,37254
application/x-gzip,37085
HTTPS,36239
application/x-stata-syntax,35336
https://www.iana.org/assignments/media-types/text/csv,32723
application/geo+json,32254
text/javascript,31257
image/png8,29524
type/x-r-syntax,28725
application/vnd.openxmlformats-officedocument.wordprocessingml.document,28389
application/fits,27445
WWW:LINK-1.0-http--metadata-URL,27142
excel2007,27110
application/vnd.mif,26271
audio/midi,26270
HTTP,26002
application/netcdf,25116
audio/prs.sid,24781
application/msword,23748
application/x-hdf,20150
text/x-matlab,18691
application/mp4,15887
chemical/x-xyz,15372
application/x-gpkg,15241
image/fits,14334
"
        application/zip
      ",14284
OGC:WFS-1.0.0-http-get-capabilities,13837
image/x-adobe-dng,13360
2,13247
video/mp4,13228
geopackage,13077
geopkg,13077
gpkg,13077
application/stac+json,12857
application/x-stata,12183
https://www.iana.org/assignments/media-types/application/xml,12138
application/vnd.sdmx.data+csv; charset=utf-8; labels=both,12062
application/zipped-shapefile,11835
GLG:KML-2.0-http-get-map,11559
application/prj,11547
https://www.iana.org/assignments/media-types/application/json,11461
http-get,11225
gml2,10525
application/geopackage+sqlite3,10237
text/comma-separated-values,10049
application/dbf,10034
OGC:WFS-2.0.0-http-get-capabilities,10019
OGC:WFS-2.0.0-http-get-feature,9986
WWW:DOWNLOAD-1.0-ftp--download,9791
application/x-tar,9649
image/x-ms-bmp,9552
4,9508
3,9442
application/x-rlang-transport,9316
text/tsv,8741
audio/x-wav,8590
application/x-hdf5,8454
WWW:DOWNLOAD-1.0-http--csiro-oa-app,8349
application/shp,8278
application/shx,8112
audio/vnd.wave,7786
"
        application/pdf
      ",7315
application/vnd.oasis.opendocument.spreadsheet,7233
image/bmp,7064
OGC:WCS,6685
application/x-tex,6506
OGC:GML,6502
DXF,6407
DXF-ZIP,6407
application/gml+xml,6400
text/x-python,6309
CSV,6157
audio/wav,6150
download,6150
5,6090
JSON,6054
https://www.iana.org/assignments/media-types/application/atom+xml,5954
audio/mpeg,5921
