name,count
Baden-Wurttemberg,1118801
Queensland,368233
Hamburg,226569
Primorskiy kray,195824
Rheinland-Pfalz,71822
Rio Grande do Sul,65503
England,51252
Manitoba,42662
Jawa Tengah,40227
Flemish Region,34196
California,33385
Alberta,32945
New South Wales,29505
Schleswig-Holstein,28959
Canarias,26437
Victoria,25342
Catalunya,22222
Tasmania,16700
Tokyo,16489
Kalimantan Barat,13694
Nouvelle-Aquitaine,12978
Toscana,12588
Nordrhein-Westfalen,10827
Andalucia,10001
Utah,9749
Bern,9661
Berlin,9176
Scotland,8944
Alaska,8390
Kalimantan Timur,8244
Cundinamarca,8146
Tucuman,7195
Trentino-Alto Adige,6566
Khyber Pakhtunkhwa,6262
Lombardia,5673
Ciudad de México,5580
Texas,5564
Ohio,5528
Atyrau oblysy,5470
Piemonte,5425
Auckland,5346
Pais Vasco,5209
British Columbia,5007
Arizona,4598
Distrito Capital de Bogota,4592
New York,4399
Maryland,4384
Wales,3826
Kaohsiung,3382
Shizuoka,3239
Pennsylvania,3201
Washington,3189
Ontario,3071
South Australia,3042
New Jersey,2839
Brussels Hoofdstedelijk Gewest,2837
Western Australia,2825
Delhi,2731
Illinois,2636
Taipei,2521
Friuli Venezia Giulia,2411
Galicia,2379
Hiroshima,2350
Iowa,2343
Pichincha,2296
Chiba,2209
Taoyuan,2187
Quebec,2155
Connecticut,2116
"Valenciana, Comunidad",2074
Vermont,2031
Nusa Tenggara Timur,1996
Michigan,1961
Kentucky,1944
Tainan,1800
District of Columbia,1762
Gifu,1734
Colorado,1733
Trnava,1652
Newfoundland and Labrador,1578
Istanbul,1528
Minas Gerais,1321
Minnesota,1291
Bayern,1263
Saskatchewan,1234
Canterbury,1208
"Madrid, Comunidad de",1157
Banten,1144
New Caledonia,1143
Buenos Aires,1136
Varsinais-Suomi,1131
Bangkok,1114
Gauteng,1114
Tartumaa,1107
Liege,1102
Santa Fe,1099
Veneto,1088
Harjumaa,1078
Missouri,1074
Emilia-Romagna,1061
"Navarra, Comunidad Foral de",1052
Laanemaa,1026
Lisboa,1014
Presov,1010
Oregon,1010
Northern Territory,1006
Sao Paulo,997
Côte-d'Or,974
Kerala,968
"Murcia, Region de",962
Paris,948
Porto,939
Wyoming,926
Hawaii,901
Zurich,895
Kuwait city,882
Massachusetts,875
Tochigi,863
Delaware,841
Yilan,829
Hokkaido,768
Nova Scotia,761
Murmanskaya oblast,760
Alabama,756
"Asturias, Principado de",754
Wellington,733
Uusimaa,726
Dublin,716
Ille-et-Vilaine,710
Aceh,709
North Carolina,707
Florida,696
Oklahoma,696
Valle del Cauca,696
Skane lan,687
Leningradskaya oblast,663
Indiana,661
Rhode Island,646
Puglia,636
Provence-Alps-French Riviera,612
Astana,611
Loja,591
Idaho,587
Ceara,584
Australian Capital Territory,579
La Paz,552
Faro,546
Saitama,537
Ahvenanmaan maakunta,523
Miyazaki,510
Silesia,502
Antwerpen,500
Penghu,488
Umbria,478
Lubuskie,464
Louisiana,456
Arkhangel'skaya oblast',455
Nantou,432
Corse,422
Toyama,420
Mendoza,408
West Virginia,404
Valgamaa,403
Sachsen,403
Ho Chi Minh,399
Tennessee,399
Sardegna,391
Liguria,370
Sankt Gallen,370
Cantabria,369
Regiao Autonoma da Madeira,364
Alagoas,364
Lazio,359
Uttar Pradesh,353
Castilla-La Mancha,346
Makkah al Mukarramah,341
Rogaland,341
Aichi,334
Pomeranie,333
Occitanie,329
Bus-Rhin,329
Herault,323
Jawa Timur,321
Basel-Stadt,317
Leinster,316
Vasterbottens lan,314
Capital Region,299
Schwyz,299
Kosice,296
Thanh Hoa,293
Seine-Maritime,292
Namur,285
Niedersachsen,281
San Jose,265
Nusa Tenggara Barat,259
Oost-Vlaanderen,253
Basilicata,244
Izmir,244
Akita,225
Aveiro,221
Pernambuco,218
Konya province,218
Taranaki,217
Nebraska,212
Ajman,204
Sarawak,201
Puebla,198
Cajamarca,190
Veracruz de Ignacio de la Llave,190
Bar,183
Wisconsin,183
Pardubice,180
Otago,168
Basel-Landschaft,163
La Pampa,160
Virginia,157
New Mexico,156
Fukushima,155
Puerto Rico,151
Rocha,148
Pyrénées-Atlantiques,145
Grad Zagreb,145
Quang Ngai,145
Marlborough,144
Viljandimaa,139
French Polynesia,136
Extremadura,131
Yalova province,130
Aosta Valley,128
Hessen,125
Arkansas,124
Aland,119
Valais,119
Qassim,118
Alajuela,116
Walloon Region,110
Lumbini province,110
Jerusalem,108
Pirkanmaa,104
Budva,100
Nuevo Leon,97
Longford,92
Azuay,92
Viseu,90
Maluku Utara,90
Bay of Plenty,89
Sicilia,84
Gia Lai,84
Karnali Province,82
Brandenburg,82
Prince Edward Island,79
Waterford,78
Eastern province (Saudi),78
Reunion,77
Galway,76
Thuringen,70
Madhesh,69
HaMerkaz,69
Jarvamaa,68
Lower Silesia,67
Kanagawa,56
Vinh Long,56
Coimbra,56
Nizhegorodskaya oblast',55
Bouches-du-Rhône,53
Northern Ireland,48
Kalmar lan,47
Jammu and Kashmir,46
Rio de Janeiro,44
Haifa,41
Kronobergs lan,40
Marche,35
Mississippi,35
Andhra Pradesh,34
Guanajuato,34
Hyogo,32
New Brunswick,32
Nord,31
Timis department,31
Campania,30
Uppsala lan,30
Viken,29
Cordoba,27
Kalimantan Utara province,27
Kwazulu-Natal,24
"Bashkortostan, Respublika",21
Rio Grande do Norte,19
Klaipeda County,19
Liberec Region,13
Yamagata,10
Geneve,6
Gomel Region,4
Regiao Autonoma dos Acores,2
